state,year,literacy_overall,literacy_male,literacy_female,gender_gap,dropout_rate_secondary,pupil_teacher_ratio,gross_enrollment_ratio
Andhra Pradesh,2011,77.2,82.4,72.1,10.3,9.1,25.1,93.1
Assam,2011,69.1,73.9,64.3,9.6,11.0,38.2,94.3
Bihar,2011,69.3,75.5,63.2,12.3,11.0,36.9,89.1
Chhattisgarh,2011,70.9,75.7,66.1,9.6,11.2,39.1,91.5
Delhi,2011,85.4,90.7,80.1,10.6,4.4,25.0,103.3
Gujarat,2011,82.6,86.8,78.3,8.5,7.0,31.5,100.4
Haryana,2011,78.1,81.8,74.4,7.3,8.8,31.9,98.6
Himachal Pradesh,2011,85.7,90.9,80.4,10.5,4.3,26.2,102.7
Jharkhand,2011,70.1,75.4,64.8,10.7,12.8,32.4,91.0
Karnataka,2011,77.0,81.3,72.6,8.7,9.8,27.8,99.9
Kerala,2011,83.3,88.2,78.3,9.9,4.7,25.8,104.4
Madhya Pradesh,2011,67.2,72.7,61.6,11.2,11.8,32.8,88.6
Maharashtra,2011,85.3,90.8,79.9,10.9,4.8,22.9,102.5
Odisha,2011,78.6,83.9,73.3,10.5,7.2,29.1,95.9
Punjab,2011,85.4,90.2,80.5,9.6,4.0,25.2,103.3
Rajasthan,2011,70.7,75.2,66.2,9.0,11.9,31.8,87.7
Tamil Nadu,2011,83.4,88.2,78.6,9.6,2.9,23.1,105.9
Telangana,2011,78.7,83.2,74.2,9.0,7.8,27.6,96.0
Uttar Pradesh,2011,69.2,73.6,64.8,8.8,12.3,34.5,87.7
Uttarakhand,2011,86.6,91.5,81.7,9.8,4.0,28.0,101.3
West Bengal,2011,75.8,81.2,70.5,10.7,9.6,32.1,98.1
Andhra Pradesh,2015,84.5,88.1,80.8,7.3,6.3,28.7,93.9
Assam,2015,75.2,78.6,71.8,6.8,10.2,36.4,95.6
Bihar,2015,77.9,85.1,70.8,14.3,10.3,30.3,93.9
Chhattisgarh,2015,71.3,75.5,67.2,8.3,11.3,38.3,93.6
Delhi,2015,91.3,94.0,88.6,5.4,2.9,23.5,108.4
Gujarat,2015,82.9,88.0,77.9,10.2,6.0,27.2,95.9
Haryana,2015,84.5,89.9,79.2,10.7,6.4,32.0,99.2
Himachal Pradesh,2015,90.9,95.2,86.6,8.6,4.0,22.5,99.4
Jharkhand,2015,68.6,75.3,61.9,13.4,11.7,35.3,93.9
Karnataka,2015,84.8,89.5,80.0,9.4,8.8,30.7,102.7
Kerala,2015,91.6,94.5,88.7,5.8,5.4,27.9,102.5
Madhya Pradesh,2015,73.8,78.6,69.0,9.5,10.4,37.2,91.9
Maharashtra,2015,90.2,95.4,84.9,10.5,5.1,23.9,105.0
Odisha,2015,78.3,82.4,74.2,8.3,6.0,27.4,97.1
Punjab,2015,91.6,95.8,87.4,8.5,2.9,22.8,106.1
Rajasthan,2015,74.6,80.3,69.0,11.3,10.6,35.1,93.8
Tamil Nadu,2015,90.2,94.7,85.8,8.9,3.7,29.9,108.7
Telangana,2015,81.2,84.5,77.8,6.7,6.8,30.4,101.7
Uttar Pradesh,2015,72.9,75.4,70.4,4.9,11.3,33.0,91.5
Uttarakhand,2015,90.5,93.7,87.4,6.4,1.7,29.0,99.2
West Bengal,2015,77.6,86.6,68.6,18.0,6.1,28.7,99.1
Andhra Pradesh,2019,88.3,92.5,84.1,8.3,7.9,30.4,98.0
Assam,2019,75.3,79.3,71.4,7.9,10.6,35.9,92.5
Bihar,2019,77.6,83.4,71.8,11.5,11.3,35.4,94.2
Chhattisgarh,2019,75.0,80.1,70.0,10.2,13.4,39.2,95.3
Delhi,2019,90.8,96.3,85.3,11.0,3.2,24.5,98.9
Gujarat,2019,88.4,92.6,84.3,8.3,6.4,29.9,99.3
Haryana,2019,84.8,89.5,80.1,9.4,7.1,33.0,91.5
Himachal Pradesh,2019,93.5,98.9,88.1,10.8,2.5,18.9,105.1
Jharkhand,2019,77.9,82.8,72.9,9.9,10.5,35.1,91.0
Karnataka,2019,84.7,91.1,78.4,12.7,9.0,32.2,100.5
Kerala,2019,95.0,99.0,91.0,8.0,2.6,23.4,102.1
Madhya Pradesh,2019,76.7,81.8,71.6,10.2,10.7,38.2,96.4
